question,answers
which symptoms are evident of Micronutrient deficiencies,"leaf discoloration, reduced growth, and poor reproductive performance"
name any one planting method that is suitable for large scale farmers.,Mechanical planting of cassava
why should the housing be kept well ventilated and clean.,to prevent the spread of disease.
which species of leafhoppers spread maize streak disease.,Cicadulina mbila and Cicadulina storeyi
What is total seed population in an acre?,"For soybeans, the recommended plant population is typically higher, ranging from 100,000 to 200,000 plants per acre. This corresponds to seeding rates of approximately 125,000 to 250,000 seeds per acre."
what are used to mark rows when planting cassava., stakes and a string 
How does Canker survive and spread within citrus orchards?,"Canker in citrus orchards survives and spreads through various means. The pathogen Xanthomonas campestris pv citri survives in infected leaves for up to 6 months and spreads through wind and rain splashes. Entry into the plant is facilitated by injuries caused by leaf miners, allowing the pathogen to infect citrus trees and cause characteristic symptoms of Canker."
which other DK varieies are available in amolatar?,"DK 9093, DK 8073, and DK 8031"
what is manual weeding., involves using hand tools such as hoes or machetes to manually remove weeds around the cassava plants.
how can organic manure conserve soil.,"Organic manure, such as farmyard manure or compost, is derived from plant or animal sources and contains a variety of organic matter. When applied to the soil, organic manure improves soil structure, enhances water-holding capacity, and promotes the growth of beneficial microorganisms. It also adds organic matter to the soil, which improves its fertility, nutrient-holding capacity, and overall health."
what is the use of cow's special stomach,to store food for later chewing and digestion once they were hidden and out of danger
"In top side dressing, at what stage should fertilizers be applied? ","""vegetative stage"" or ""early growth stage"" of the plant"
when do i harvest cassava plant?,"when the plants have attained
complete physiological maturity"
which maize variety was developed by the International Maize and Wheat Improvement Center (CIMMYT).,CML444
Which chemical is best for preserving beans seeds for long periods against weevils,"The chemical most commonly used for preserving beans seeds against weevils is called diatomaceous earth. It is a natural, non-toxic substance made from the fossilized remains of diatoms, which are a type of algae. When diatomaceous earth is applied to bean seeds, it dehydrates and kills the weevils by drying out their outer layer."
What pesticide can i apply when beans flower.,"When beans are flowering, it is important to be careful when applying pesticides as it can harm pollinators such as bees that help in the fertilization process. If you need to apply a pesticide during this time, it is recommended to use an insecticide that is safe for bees, such as those based on Bacillus thuringiensis (Bt), spinosad, or neem oil."
